;league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
117;Liga Pro (Rusia);1;g_25_dA4B7Qxj;Finalizado;2021-01-28 00:00:00;Tsybikov Z. (Rus);Uezdin A. (Rus);3;1;[{'home': 11, 'away': 3}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}, {'home': 13, 'away': 11}];2.28;1.52
118;Liga Pro (Rusia);1;g_25_Gn3Q5Hms;Finalizado;2021-01-28 00:00:00;Volkov A. (Rus);Yusipov T. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 13, 'away': 15}, {'home': 10, 'away': 12}];1.52;2.28
119;Liga Pro (Rusia);1;g_25_zgLcAcuQ;Finalizado;2021-01-28 00:00:00;Ilyukhin E. (Rus);Minkov M. (Rus);2;3;[{'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 5, 'away': 11}];2.37;1.48
120;Liga Pro (Rusia);1;g_25_z13F6phd;Finalizado;2021-01-28 00:00:00;Zhurba N. (Rus);Ignatiev D. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];1.67;2.02
121;Liga Pro (Rusia);1;g_25_OUH858gb;Finalizado;2021-01-28 00:00:00;Ilin A. (Rus);Sukharnikov N. (Rus);2;3;[{'home': 11, 'away': 8}, {'home': 3, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}];1.48;2.4
122;Liga Pro (Rusia);1;g_25_joT41hBh;Finalizado;2021-01-28 00:00:00;Serebrennikov A. (Rus);Tsybikov Z. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 11, 'away': 5}];1.14;4.55
123;Liga Pro (Rusia);1;g_25_tS3vJRNc;Finalizado;2021-01-28 00:00:00;Petrochenko D. (Rus);Ivanov Va. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 13, 'away': 11}];1.8;1.84
124;Liga Pro (Rusia);1;g_25_2LGC4S84;Finalizado;2021-01-28 00:00:00;Suntsov A. (Rus);Ilyukhin E. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 7, 'away': 11}];1.88;1.78
125;Liga Pro (Rusia);1;g_25_UyS80CQb;Finalizado;2021-01-28 00:00:00;Ignatiev D. (Rus);Uezdin A. (Rus);3;1;[{'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}];1.14;4.55
126;Liga Pro (Rusia);1;g_25_OjgqIow4;Finalizado;2021-01-28 00:00:00;Shagarov O. (Rus);Volkov A. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 3}, {'home': 13, 'away': 11}, {'home': 11, 'away': 6}];1.57;2.17
127;Liga Pro (Rusia);1;g_25_rXX93nOA;Finalizado;2021-01-28 00:00:00;Sukharnikov N. (Rus);Minkov M. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 8}];1.57;2.17
